"","nearest_1","nearest_2","nearest_3","nearest_4","nearest_5"
"Arctogalidia_trivirgata","Lycalopex_vetulus","Conepatus_mesoleucus","Paguma_larvata","Nyctereutes_procyonoides","Hydrictis_maculicollis"
"Bassaricyon_alleni","Potos_flavus","Bdeogale_jacksoni","Nasua_nasua","Otocyon_megalotis","Lontra_canadensis"
"Catopuma_badia","Felis_silvestris","Leptailurus_serval","Leopardus_wiedii","Prionailurus_bengalensis","Catopuma_temminckii"
"Chrotogale_owstoni","Procyon_lotor","Procyon_cancrivorus","Ichneumia_albicauda","Ailurus_fulgens","Nasua_nasua"
"Cynogale_bennettii","Procyon_lotor","Procyon_cancrivorus","Ailurus_fulgens","Ichneumia_albicauda","Nasua_nasua"
"Hemigalus_derbyanus","Nasuella_olivacea","Nasua_nasua","Bdeogale_jacksoni","Ichneumia_albicauda","Procyon_lotor"
"Herpestes_brachyurus","Mephitis_mephitis","Viverricula_indica","Spilogale_putorius","Vulpes_zerda","Mungotictis_decemlineata"
"Mydaus_javanensis","Ichneumia_albicauda","Fossa_fossana","Ailurus_fulgens","Bassariscus_astutus","Cynictis_penicillata"
"Paradoxurus_musanga","Conepatus_mesoleucus","Lycalopex_vetulus","Paguma_larvata","Arctonyx_collaris","Nyctereutes_procyonoides"
"Pardofelis_marmorata","Leptailurus_serval","Leopardus_wiedii","Felis_silvestris","Prionailurus_bengalensis","Catopuma_temminckii"
"Prionodon_linsang","Neovison_vison","Galictis_cuja","Vulpes_zerda","Vulpes_rueppellii","Spilogale_putorius"
